Actor1,Actor10,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
Anthony Perkins,,Janet Leigh,Vera Miles,,,,,,,"Anthony Perkins, Janet Leigh, Vera Miles",Nominated for 4 Oscars. 8 wins & 14 nominations total,"$32,181,230 ",United States,N/A,Alfred Hitchcock,"Drama, Horror, Mystery",English,97,"Phoenix office worker Marion Crane is fed up with the way life has treated her. She has to meet her lover Sam in lunch breaks, and they cannot get married because Sam has to give most of his money away in alimony. One Friday, Marion is trusted to bank forty thousand dollars by her employer. Seeing the opportunity to take the money and start a new life, Marion leaves town and heads towards Sam's California store. Tired after the long drive and caught in a storm, she gets off the main highway and pulls into the Bates Motel. The motel is managed by a quiet young man called Norman who seems to be dominated by his mother.",https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '97/100'}]",8-Sep-60,TRUE,109 min,Psycho,movie,N/A,"Joseph Stefano, Robert Bloch",1960,tt0054215,8.5,"765,542"
John Travolta,,Uma Thurman,Samuel L. Jackson,,,,,,,"John Travolta, Uma Thurman, Samuel L. Jackson",Won 1 Oscar. 69 wins & 72 nominations total,"$107,928,762 ",United States,N/A,Quentin Tarantino,"Crime, Drama","English, Spanish, French",95,"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.",https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",14-Oct-94,TRUE,154 min,Pulp Fiction,movie,N/A,"Quentin Tarantino, Roger Avary",1994,tt0110912,8.8,"2,398,909"
Daniel Craig,,Olga Kurylenko,Mathieu Amalric,,,,,,,"Daniel Craig, Olga Kurylenko, Mathieu Amalric",Nominated for 2 BAFTA 4 wins & 32 nominations total,"$168,368,427 ","United Kingdom, United States, Italy",N/A,Marc Forster,"Action, Adventure, Mystery","English, Spanish, Italian, French, Swiss German, German",58,"Is there solace in revenge? James Bond (Daniel Craig) and M (Dame Judi Dench) sniff a shadowy international network of power and corruption reaping billions. As Bond pursues the agents of an assassination attempt on M, all roads lead to Dominic Greene (Mathieu Amalric), a world-renowned developer of green technology. Greene, a nasty piece of work, is intent on securing a barren area of Bolivia in exchange for helping a strongman stage a coup there. The C.I.A. looks the other way, and only Bond, with help from a retired spy and a mysterious beauty, stands in Greene's way. M wonders if she can trust Bond, or if vengeance possesses him. Can anyone drawn to Bond live to tell the tale?",https://m.media-amazon.com/images/M/MV5BYmMwZTA3MTAtNWU0Yy00NGZmLTg0YmItZTVkZGFjZTI1ZWJiXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",14-Nov-08,TRUE,106 min,Quantum of Solace,movie,N/A,"Paul Haggis, Neal Purvis, Robert Wade",2008,tt0830515,6.5,"491,472"
Felicity Jones,,Diego Luna,Alan Tudyk,,,,,,,"Felicity Jones, Diego Luna, Alan Tudyk",Nominated for 2 Oscars. 24 wins & 85 nominations total,"$533,539,991 ",United States,N/A,Gareth Edwards,"Action, Adventure, Sci-Fi",English,65,"All looks lost for the Rebellion against the Empire as they learn of the existence of a new super weapon, the Death Star. Once a possible weakness in its construction is uncovered, the Rebel Alliance must set out on a desperate mission to steal the plans for the Death Star. The future of the entire galaxy now rests upon its success.",https://m.media-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",16-Dec-16,TRUE,133 min,Rogue One: A Star Wars Story,movie,N/A,"Chris Weitz, Tony Gilroy, John Knoll",2016,tt3748528,7.8,"744,157"
Gregory Peck,,Audrey Hepburn,Eddie Albert,,,,,,,"Gregory Peck, Audrey Hepburn, Eddie Albert",Won 3 Oscars. 11 wins & 20 nominations total,N/A,United States,N/A,William Wyler,"Comedy, Drama, Romance","English, Italian, German",78,"Joe Bradley is a reporter for the American News Service in Rome, a job he doesn't much like as he would rather work for what he considers a real news agency back in the States. He is on the verge of getting fired when he, sleeping in and getting caught in a lie by his boss Hennessy, misses an interview with HRH Princess Ann, who is on a goodwill tour of Europe, Rome only her latest stop. However, he thinks he may have stumbled upon a huge scoop. Princess Ann has officially called off all her Rome engagements due to illness. In reality, he recognizes the photograph of her as being the young well but simply dressed drunk woman he rescued off the street last night (as he didn't want to turn her into the police for being a vagrant), and who is still in his small studio apartment sleeping off her hangover. What Joe doesn't know is that she is really sleeping off the effects of a sedative given to her by her doctor to calm her down after an anxiety attack, that anxiety because she hates her regimented life where she has no freedom and must always do and say the politically correct things, not what is truly on her mind or in her heart. In wanting just a little freedom, she seized upon a chance opportunity to escape from the royal palace where she was staying, albeit with no money in her pockets. Joe believes he can get an exclusive interview with her without she even knowing that he's a reporter or that he's interviewing her. As Joe accompanies ""Anya Smith"" - her name as she tells him in trying to hide her true identity - around Rome on her incognito day of freedom somewhat unaware that the secret service is searching for her, along for the ride is Joe's photographer friend, Irving Radovich, who Joe has tasked with clandestinely taking photographs of her, those photos to accompany the story. As the day progresses, Joe and Ann slowly start to fall for each other. Their feelings for each other affect what both decide to do, Ann with regard to her royal duties, Joe with regard to the story, and both with regard to if there is a future for them together.",https://m.media-amazon.com/images/M/MV5BMGE5MTA2NDUtYTQ3Yi00YzM4LWJlODItNDE1ZTRjYjY0M2E5XkEyXkFqcGc@._V1_SX300.jpg,N/A,Approved,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",2-Sep-53,TRUE,118 min,Roman Holiday,movie,N/A,"Dalton Trumbo, Ian McLellan Hunter, John Dighton",1953,tt0046250,8,"156,773"
Leonardo DiCaprio,,Claire Danes,John Leguizamo,,,,,,,"Leonardo DiCaprio, Claire Danes, John Leguizamo",Nominated for 1 Oscar. 15 wins & 30 nominations total,"$46,351,345 ","United States, Mexico, Australia, Canada",N/A,Baz Luhrmann,"Drama, Romance",English,60,"The classic story of Romeo and Juliet, set in a modern-day city of Verona Beach. The Montagues and Capulets are two feuding families, whose children meet and fall in love. They have to hide their love from the world because they know that their parents will not allow them to be together. There are obstacles on the way, like Juliet's cousin, Tybalt, and Romeo's friend Mercutio, and many fights. But although it is set in modern times, it is still the same timeless story of the ""star crossed lovers"".",https://m.media-amazon.com/images/M/MV5BZjBhYjkxN2EtNDc1Yy00NTViLTkxMjQtMDYxMzM0MzA3NGQ4XkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",1-Nov-96,TRUE,120 min,Romeo + Juliet,movie,N/A,"William Shakespeare, Craig Pearce, Baz Luhrmann",1996,tt0117509,6.7,"257,554"
Humphrey Bogart,,Audrey Hepburn,William Holden,,,,,,,"Humphrey Bogart, Audrey Hepburn, William Holden",Won 1 Oscar. 7 wins & 8 nominations total,N/A,United States,N/A,Billy Wilder,"Comedy, Drama, Romance","English, French",72,"Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work -- busily running the family corporate empire with no time for a wife and family. David is all play -- technically employed in the family business but never showing up for work, spending all his time entertaining, and having been married and divorced three times. Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who has been infatuated with David all her life, but whom David hardly notices till she goes away to Paris for two years and returns an elegant, sophisticated, beautiful woman. Suddenly, she finds she's captured David's attention, but just as she does so, she finds herself also falling in love with Linus, and she finds that Linus is also falling in love with her.",https://m.media-amazon.com/images/M/MV5BNjQ5MWI5YWYtYzYxNi00ODM4LWI4NzEtNzUzYmVkNzRiYzNlXkEyXkFqcGc@._V1_SX300.jpg,N/A,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",15-Oct-54,TRUE,113 min,Sabrina,movie,N/A,"Billy Wilder, Samuel A. Taylor, Ernest Lehman",1954,tt0047437,7.6,"73,444"
Denzel Washington,,Ryan Reynolds,Robert Patrick,,,,,,,"Denzel Washington, Ryan Reynolds, Robert Patrick",1 win & 7 nominations total,"$126,373,434 ","Japan, United States, South Africa",N/A,Daniel Espinosa,"Action, Thriller","English, Afrikaans",52,"Matt Weston (Ryan Reynolds) is a CIA rookie who is manning a safe house in Cape Town, South Africa, when Tobin Frost (Denzel Washington) the CIA's most wanted rogue agent is captured and taken to the safe house. During Frost's interrogation, the safe house is overtaken by mercenaries who want Frost. Weston and Frost escape and must stay out of the gunmen's sight until they can get to another safe house.",https://m.media-amazon.com/images/M/MV5BMjI5ODkyMjA2Nl5BMl5BanBnXkFtZTcwNTcyNTgzNw@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",10-Feb-12,TRUE,115 min,Safe House,movie,N/A,David Guggenheim,2012,tt1599348,6.7,"247,738"
Tom Hanks,,Matt Damon,Tom Sizemore,,,,,,,"Tom Hanks, Matt Damon, Tom Sizemore",Won 5 Oscars. 79 wins & 75 nominations total,"$217,049,603 ",United States,N/A,Steven Spielberg,"Drama, War","English, French, German, Czech",91,"Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother...",https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",24-Jul-98,TRUE,169 min,Saving Private Ryan,movie,N/A,Robert Rodat,1998,tt0120815,8.6,"1,613,013"
Morgan Freeman,,Brad Pitt,Kevin Spacey,,,,,,,"Morgan Freeman, Brad Pitt, Kevin Spacey",Nominated for 1 Oscar. 29 wins & 44 nominations total,"$101,040,643 ",United States,N/A,David Fincher,"Crime, Drama, Mystery",English,65,"A film about two homicide detectives' (Morgan Freeman and Brad Pitt) desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer...",https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",22-Sep-95,TRUE,127 min,Se7en,movie,N/A,Andrew Kevin Walker,1995,tt0114369,8.6,"1,982,587"
Mike Myers,,Eddie Murphy,Cameron Diaz,,,,,,,"Mike Myers, Eddie Murphy, Cameron Diaz",Won 1 Oscar. 40 wins & 60 nominations total,"$268,698,241 ",United States,N/A,"Andrew Adamson, Vicky Jenson","Animation, Adventure, Comedy",English,84,"When a green ogre named Shrek discovers his swamp has been 'swamped' with all sorts of fairytale creatures by the scheming Lord Farquaad, Shrek sets out with a very loud donkey by his side to 'persuade' Farquaad to give Shrek his swamp back. Instead, a deal is made. Farquaad, who wants to become the King, sends Shrek to rescue Princess Fiona, who is awaiting her true love in a tower guarded by a fire-breathing dragon. But once they head back with Fiona, it starts to become apparent that not only does Shrek, an ugly ogre, begin to fall in love with the lovely princess, but Fiona is also hiding a huge secret.",https://m.media-amazon.com/images/M/MV5BN2FkMTRkNTUtYTI0NC00ZjI4LWI5MzUtMDFmOGY0NmU2OGY1XkEyXkFqcGc@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",18-May-01,TRUE,90 min,Shrek,movie,N/A,"William Steig, Ted Elliott, Terry Rossio",2001,tt0126029,7.9,"797,094"
Mike Myers,,Eddie Murphy,Cameron Diaz,,,,,,,"Mike Myers, Eddie Murphy, Cameron Diaz",Nominated for 2 Oscars. 18 wins & 52 nominations total,"$444,978,202 ",United States,N/A,"Andrew Adamson, Kelly Asbury, Conrad Vernon","Animation, Adventure, Comedy",English,75,"Shrek (Mike Myers) has rescued Princess Fiona (Cameron Diaz), got married, and now is time to meet the parents. Shrek, Fiona, and Donkey (Eddie Murphy) set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and King Harold (John Cleese) find it hard to get along, and there's tension in the marriage. It's not just the family who are unhappy. Prince Charming (Rupert Everett) returns from a failed attempt at rescuing Fiona, and works alongside his mother, the Fairy Godmother (Jennifer Saunders), to try and find a way to get Shrek away from Fiona.",https://m.media-amazon.com/images/M/MV5BMzNmNjQ1NmUtNzhiZS00YWE2LTg4N2ItZTA2ODdmOTMwOTQ1XkEyXkFqcGc@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",19-May-04,TRUE,93 min,Shrek 2,movie,N/A,"William Steig, Andrew Adamson, Joe Stillman",2004,tt0298148,7.4,"547,781"
Leonardo DiCaprio,,Emily Mortimer,Mark Ruffalo,,,,,,,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo",11 wins & 66 nominations total,"$128,012,934 ","Canada, United States",N/A,Martin Scorsese,"Drama, Mystery, Thriller","English, German",63,"In 1954, up-and-coming U.S. marshal Teddy Daniels is assigned to investigate the disappearance of a patient from Boston's Shutter Island Ashecliffe Hospital. He's been pushing for an assignment on the island for personal reasons, but before long he thinks he's been brought there as part of a twisted plot by hospital doctors whose radical treatments range from unethical to illegal to downright sinister. Teddy's shrewd investigating skills soon provide a promising lead, but the hospital refuses him access to records he suspects would break the case wide open. As a hurricane cuts off communication with the mainland, more dangerous criminals ""escape"" in the confusion, and the puzzling, improbable clues multiply, Teddy begins to doubt everything - his memory, his partner, even his own sanity.",https://m.media-amazon.com/images/M/MV5BN2FjNWExYzEtY2YzOC00YjNlLTllMTQtNmIwM2Q1YzBhOWM1XkEyXkFqcGc@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",19-Feb-10,TRUE,138 min,Shutter Island,movie,N/A,"Laeta Kalogridis, Dennis Lehane",2010,tt1130884,8.2,"1,607,676"
Paul Giamatti,,Thomas Haden Church,Virginia Madsen,,,,,,,"Paul Giamatti, Thomas Haden Church, Virginia Madsen",Won 1 Oscar. 123 wins & 91 nominations total,"$71,503,593 ",United States,N/A,Alexander Payne,"Comedy, Drama, Romance","English, Armenian, French",94,"A week before his friend Jack is to be married, best man Miles and the prospective groom head off to wine country for a week of fun, relaxation and - of course - wine drinking. Miles is the oenophile and does his best to teach Jack a bit about the art of appreciating great wine. All Jack cares about is drinking and carousing, something he accomplishes when he meets the attractive Stephanie at one of the vineyards. Miles is something of a sad sack, a high school English teacher who is a failed writer at heart. He has yet to get over the fact that his wife has divorced him and that she has remarried and he now faces that nerve racking wait for word from a prospective publisher. Miles has an opportunity to start anew when he meets Stephanie's friend Maya but when he let's slip that Jack is about to be married any hope of a relationship seems to be lost.",https://m.media-amazon.com/images/M/MV5BMTU0Mjg3MzkxOV5BMl5BanBnXkFtZTYwNDU1OTY3._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",22-Oct-04,TRUE,127 min,Sideways,movie,N/A,"Rex Pickett, Alexander Payne, Jim Taylor",2004,tt0375063,7.5,"212,839"
Bradley Cooper,,Jennifer Lawrence,Robert De Niro,,,,,,,"Bradley Cooper, Jennifer Lawrence, Robert De Niro",Won 1 Oscar. 90 wins & 148 nominations total,"$132,092,958 ",United States,N/A,David O. Russell,"Comedy, Drama, Romance","English, Hindi",81,"Against medical advice and without the knowledge of her husband Pat Solatano Sr., caring Dolores Solatano discharges her adult son, Pat Solatano Jr., from a Maryland mental health institution after his minimum eight-month court ordered stint. The condition of the release includes Pat Jr. moving back in with his parents in their Philadelphia home. Although Pat Jr.'s institutionalization was due to him beating up the lover of his wife Nikki, he was diagnosed with bipolar disorder. Nikki has since left him and has received a restraining order against him. Although he is on medication (which he doesn't take because of the way it makes him feel) and has mandatory therapy sessions, Pat Jr. feels like he can manage on the outside solely by healthy living and looking for the ""silver linings"" in his life. His goals are to get his old job back as a substitute teacher, but more importantly reunite with Nikki. He finds there are certain instances where he doesn't cope well; however, no less so than some others who have never been institutionalized, such as his Philadelphia Eagles obsessed father who has resorted to being a bookie to earn a living, his best friend Ronnie who quietly seethes over the control wielded by his wife Veronica, and Veronica's widowed sister, Tiffany Maxwell, a girl with problems of her own. In their fragile mental states, Pat Jr. and Tiffany embark on a love/hate friendship based primarily on what help the other can provide in achieving their individual goals. But they may reevaluate their goals as their relationship progresses.",https://m.media-amazon.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",25-Dec-12,TRUE,122 min,Silver Linings Playbook,movie,N/A,"David O. Russell, Matthew Quick",2012,tt1045658,7.7,"769,108"
Daniel Craig,,Javier Bardem,Naomie Harris,,,,,,,"Daniel Craig, Javier Bardem, Naomie Harris",Won 2 Oscars. 69 wins & 125 nominations total,"$304,360,277 ","United Kingdom, United States, Turkey, China",N/A,Sam Mendes,"Action, Adventure, Thriller","English, Turkish, Shanghainese, Portuguese, Japanese",81,"When James Bond's (Daniel Craig's) latest assignment goes gravely wrong and Agents around the world are exposed, MI6 is attacked, forcing (M Dame Judi Dench) to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows, aided only by field agent, Miss Eve Moneypenny (Naomie Harris), following a trail to the mysterious Tiago Rodriguez, a.k.a. Raoul Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves.",https://m.media-amazon.com/images/M/MV5BNjAzMWNkODUtM2FlMi00NzgyLWJhMGUtMWEyNDYyZGFiN2RlXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",9-Nov-12,TRUE,143 min,Skyfall,movie,N/A,"Neal Purvis, Robert Wade, John Logan",2012,tt1074638,7.8,"764,166"
Michael Jordan,,Wayne Knight,Theresa Randle,,,,,,,"Michael Jordan, Wayne Knight, Theresa Randle",5 wins & 8 nominations total,"$90,594,962 ",United States,N/A,Joe Pytka,"Animation, Adventure, Comedy",English,57,"Swackhammer, owner of the amusement park planet Moron Mountain is desperate get new attractions and he decides that the Looney Tune characters would be perfect. He sends his diminutive underlings to get them to him, whether Bugs Bunny and Co. want to go or not. Well armed for their size, Bugs Bunny is forced to trick them into agreeing to a competition to determine their freedom. Taking advantage of their puny and stubby legged foes, the gang selects basketball for the surest chance of winning. However, the Nerdlucks turn the tables and steal the talents of leading professional basketball stars to become massive basketball bruisers known as the Monstars. In desperation, Bugs Bunny calls on the aid of Michael Jordan, the Babe Ruth of basketball, to help them have a chance at winning their freedom.",https://m.media-amazon.com/images/M/MV5BZGQ3ZDk0M2MtZDNmNi00OWE3LThiODUtMTU3NmVjMTA0ZGQyXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",15-Nov-96,TRUE,88 min,Space Jam,movie,N/A,"Leo Benvenuti, Steve Rudnick, Timothy Harris",1996,tt0117705,6.5,"226,447"
Mel B,,Emma Bunton,Melanie C,,,,,,,"Mel B, Emma Bunton, Melanie C",3 wins & 12 nominations total,"$29,342,592 ",United Kingdom,N/A,Bob Spiers,"Comedy, Family, Music",English,34,"Climb aboard the double decker Spice Bus and get ready for a madcap musical adventure with the sexy phenomenons of pop - the Spice Girls. An encounter with extra-terrestrials, a night in a haunted castle, and a moment of truth in a maternity ward are just a few of the escapades the endeavored upon as the Girls gear up for their first live concert at London's Royal Albert Hall.",https://m.media-amazon.com/images/M/MV5BZTllNGQ2MDktNWVmZC00OGU3LTk0NjctODcxMDFiYmIwYmU2XkEyXkFqcGc@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",23-Jan-98,TRUE,93 min,Spice World,movie,N/A,"Spice Girls, Kim Fuller, Jamie Curtis",1997,tt0120185,3.7,"38,923"
Chris Pine,,Zachary Quinto,Simon Pegg,,,,,,,"Chris Pine, Zachary Quinto, Simon Pegg",Won 1 Oscar. 27 wins & 95 nominations total,"$257,730,019 ","Germany, United States",N/A,J.J. Abrams,"Action, Adventure, Sci-Fi",English,82,"On the day of James T. Kirk's birth, his father dies on his damaged starship in a last stand against a Romulan mining vessel looking for Ambassador Spock, who in this time, has grown on Vulcan disdained by his neighbors for his half-human heritage. 25 years later, James T. Kirk has grown into a young rebellious troublemaker. Challenged by Captain Christopher Pike to realize his potential in Starfleet, he comes to annoy academy instructors like Commander Spock. Suddenly, there is an emergency on Vulcan and the newly-commissioned USS Enterprise is crewed with promising cadets like Nyota Uhura, Hikaru Sulu, Pavel Chekov and even Kirk himself, thanks to Leonard McCoy's medical trickery. Together, this crew will have an adventure in the final frontier where the old legend is altered forever as a new version of the legend begins.",https://m.media-amazon.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",8-May-09,TRUE,127 min,Star Trek,movie,N/A,"Roberto Orci, Alex Kurtzman, Gene Roddenberry",2009,tt0796366,7.9,"636,122"
Ewan McGregor,,Liam Neeson,Natalie Portman,,,,,,,"Ewan McGregor, Liam Neeson, Natalie Portman",Nominated for 3 Oscars. 28 wins & 71 nominations total,"$487,576,624 ","United States, United Kingdom",N/A,George Lucas,"Action, Adventure, Fantasy","English, Sanskrit",51,"The evil Trade Federation, led by Nute Gunray is planning to take over the peaceful world of Naboo. Jedi Knights Qui-Gon Jinn and Obi-Wan Kenobi are sent to confront the leaders. But not everything goes to plan. The two Jedi escape, and along with their new Gungan friend, Jar Jar Binks head to Naboo to warn Queen Amidala, but droids have already started to capture Naboo and the Queen is not safe there. Eventually, they land on Tatooine, where they become friends with a young boy known as Anakin Skywalker. Qui-Gon is curious about the boy, and sees a bright future for him. The group must now find a way of getting to Coruscant and to finally solve this trade dispute, but there is someone else hiding in the shadows. Are the Sith really extinct? Is the Queen really who she says she is? And what's so special about this young boy?",https://m.media-amazon.com/images/M/MV5BODVhNGIxOGItYWNlMi00YTA0LWI3NTctZmQxZGUwZDEyZWI4XkEyXkFqcGc@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",19-May-99,TRUE,136 min,Star Wars: Episode I - The Phantom Menace,movie,N/A,George Lucas,1999,tt0120915,6.5,"917,424"
